kaporta,lastik,motor,koltuk,ruzgarlik,groundType,mass,speed,projectedSpeed,duration
0,1,0,0,0,Buz,1060,0.852,160.7826,6.729354
0,1,0,0,1,Toprak,1085,0.366,122.0435,8.746802
0,1,0,0,1,Micir,1085,0.488,131.7681,8.240365
0,1,0,0,1,Asfalt,1085,0.61,141.4928,7.733927
0,1,0,0,1,Buz,1085,0.7320001,151.2174,7.227489
0,1,0,0,2,Toprak,1110,0.246,112.4783,9.244937
0,1,0,0,2,Micir,1110,0.328,119.0145,8.904545
0,1,0,0,2,Asfalt,1110,0.41,125.5507,8.564153
0,1,0,0,2,Buz,1110,0.492,132.087,8.22376
0,1,0,1,0,Toprak,1110,0.336,119.6522,8.871336
0,1,0,1,0,Micir,1110,0.448,128.5797,8.406409
0,1,0,1,0,Asfalt,1110,0.56,137.5072,7.941483
0,1,0,1,0,Buz,1110,0.6720001,146.4348,7.476557
0,1,0,1,1,Toprak,1135,0.276,114.8696,9.120403
0,1,0,1,1,Micir,1135,0.368,122.2029,8.7385
0,1,0,1,1,Asfalt,1135,0.46,129.5362,8.356596
0,1,0,1,1,Buz,1135,0.552,136.8696,7.974692
0,1,0,1,2,Toprak,1160,0.156,105.3044,9.618539
0,1,0,1,2,Micir,1160,0.208,109.4493,9.40268
0,1,0,1,2,Asfalt,1160,0.26,113.5942,9.186821
0,1,0,1,2,Buz,1160,0.312,117.7391,8.970963
0,1,0,2,0,Toprak,1160,0.246,112.4783,9.244937
0,1,0,2,0,Micir,1160,0.328,119.0145,8.904545
0,1,0,2,0,Asfalt,1160,0.41,125.5507,8.564153
0,1,0,2,0,Buz,1160,0.492,132.087,8.22376
0,1,0,2,1,Toprak,1185,0.186,107.6956,9.494005
0,1,0,2,1,Micir,1185,0.248,112.6377,9.236635
0,1,0,2,1,Asfalt,1185,0.31,117.5797,8.979265
0,1,0,2,1,Buz,1185,0.372,122.5217,8.721895
0,1,0,2,2,Toprak,1210,0.06600001,98.13043,9.99214
0,1,0,2,2,Micir,1210,0.08800001,99.88406,9.900815
0,1,0,2,2,Asfalt,1210,0.11,101.6377,9.80949
0,1,0,2,2,Buz,1210,0.132,103.3913,9.718165
0,1,1,0,0,Toprak,1260,0.354,121.087,8.796616
0,1,1,0,0,Micir,1260,0.472,130.4928,8.306783
0,1,1,0,0,Asfalt,1260,0.59,139.8985,7.816949
0,1,1,0,0,Buz,1260,0.7080001,149.3044,7.327116
0,1,1,0,1,Toprak,1285,0.294,116.3044,9.045683
0,1,1,0,1,Micir,1285,0.392,124.1159,8.638873
0,1,1,0,1,Asfalt,1285,0.49,131.9275,8.232062
0,1,1,0,1,Buz,1285,0.5880001,139.7391,7.825252
0,1,1,0,2,Toprak,1310,0.174,106.7391,9.543818
0,1,1,0,2,Micir,1310,0.232,111.3623,9.303053
0,1,1,0,2,Asfalt,1310,0.29,115.9855,9.062287
0,1,1,0,2,Buz,1310,0.348,120.6087,8.821522
0,1,1,1,0,Toprak,1310,0.264,113.913,9.170218
0,1,1,1,0,Micir,1310,0.352,120.9275,8.804918
0,1,1,1,0,Asfalt,1310,0.44,127.942,8.439619
0,1,1,1,0,Buz,1310,0.528,134.9565,8.07432
0,1,1,1,1,Toprak,1335,0.204,109.1304,9.419285
0,1,1,1,1,Micir,1335,0.272,114.5507,9.137008
0,1,1,1,1,Asfalt,1335,0.34,119.971,8.854732
0,1,1,1,1,Buz,1335,0.408,125.3913,8.572454
0,1,1,1,2,Toprak,1360,0.08400001,99.56522,9.917419
0,1,1,1,2,Micir,1360,0.112,101.7971,9.801188
0,1,1,1,2,Asfalt,1360,0.14,104.029,9.684957
0,1,1,1,2,Buz,1360,0.168,106.2609,9.568725
0,1,1,2,0,Toprak,1360,0.174,106.7391,9.543818
0,1,1,2,0,Micir,1360,0.232,111.3623,9.303053
0,1,1,2,0,Asfalt,1360,0.29,115.9855,9.062287
0,1,1,2,0,Buz,1360,0.348,120.6087,8.821522
0,1,1,2,1,Toprak,1385,0.114,101.9565,9.792886
0,1,1,2,1,Micir,1385,0.152,104.9855,9.635143
0,1,1,2,1,Asfalt,1385,0.19,108.0145,9.477401
0,1,1,2,1,Buz,1385,0.228,111.0435,9.319657
0,1,1,2,2,Toprak,1410,-0.005999999,92.3913,10.29102
0,1,1,2,2,Micir,1410,-0.007999999,92.23188,10.29932
0,1,1,2,2,Asfalt,1410,-0.009999998,92.07246,10.30763
0,1,1,2,2,Buz,1410,-0.012,91.91304,10.31593
0,1,2,0,0,Toprak,1160,0.39,123.9565,8.647175
0,1,2,0,0,Micir,1160,0.52,134.3188,8.107529
0,1,2,0,0,Asfalt,1160,0.65,144.6812,7.567882
0,1,2,0,0,Buz,1160,0.7800001,155.0435,7.028235
0,1,2,0,1,Toprak,1185,0.33,119.1739,8.896242
0,1,2,0,1,Micir,1185,0.44,127.942,8.439619
0,1,2,0,1,Asfalt,1185,0.55,136.7101,7.982995
0,1,2,0,1,Buz,1185,0.66,145.4783,7.526371
0,1,2,0,2,Toprak,1210,0.21,109.6087,9.394378
0,1,2,0,2,Micir,1210,0.28,115.1884,9.103799
0,1,2,0,2,Asfalt,1210,0.35,120.7681,8.81322
0,1,2,0,2,Buz,1210,0.42,126.3478,8.522641
0,1,2,1,0,Toprak,1210,0.3,116.7826,9.020777
0,1,2,1,0,Micir,1210,0.4,124.7536,8.605663
0,1,2,1,0,Asfalt,1210,0.5,132.7246,8.190551
0,1,2,1,0,Buz,1210,0.6,140.6956,7.775438
0,1,2,1,1,Toprak,1235,0.24,112,9.269844
0,1,2,1,1,Micir,1235,0.32,118.3768,8.937754
0,1,2,1,1,Asfalt,1235,0.4,124.7536,8.605663
0,1,2,1,1,Buz,1235,0.48,131.1304,8.273574
0,1,2,1,2,Toprak,1260,0.12,102.4348,9.76798
0,1,2,1,2,Micir,1260,0.16,105.6232,9.601934
0,1,2,1,2,Asfalt,1260,0.2,108.8116,9.435889
0,1,2,1,2,Buz,1260,0.24,112,9.269844
0,1,2,2,0,Toprak,1260,0.21,109.6087,9.394378
0,1,2,2,0,Micir,1260,0.28,115.1884,9.103799
0,1,2,2,0,Asfalt,1260,0.35,120.7681,8.81322
0,1,2,2,0,Buz,1260,0.42,126.3478,8.522641
0,1,2,2,1,Toprak,1285,0.15,104.8261,9.643445
0,1,2,2,1,Micir,1285,0.2,108.8116,9.435889
0,1,2,2,1,Asfalt,1285,0.25,112.7971,9.228333
0,1,2,2,1,Buz,1285,0.3,116.7826,9.020777
0,1,2,2,2,Toprak,1310,0.03,95.26087,10.14158
0,1,2,2,2,Micir,1310,0.04,96.05797,10.10007
0,1,2,2,2,Asfalt,1310,0.05,96.85507,10.05856
0,1,2,2,2,Buz,1310,0.06000001,97.65218,10.01705
0,2,0,0,0,Toprak,1060,0.4560001,129.2174,8.3732
0,2,0,0,0,Micir,1060,0.608,141.3333,7.742229
0,2,0,0,0,Asfalt,1060,0.7600001,153.4493,7.111258
0,2,0,0,0,Buz,1060,0.9120001,165.5652,6.480286
0,2,0,0,1,Toprak,1085,0.3960001,124.4348,8.622268
0,2,0,0,1,Micir,1085,0.5280001,134.9565,8.074319
0,2,0,0,1,Asfalt,1085,0.6600001,145.4783,7.526371
0,2,0,0,1,Buz,1085,0.7920001,156,6.978422
0,2,0,0,2,Toprak,1110,0.2760001,114.8696,9.120403
0,2,0,0,2,Micir,1110,0.3680001,122.2029,8.7385
0,2,0,0,2,Asfalt,1110,0.4600001,129.5362,8.356596
0,2,0,0,2,Buz,1110,0.5520001,136.8696,7.974692
0,2,0,1,0,Toprak,1110,0.366,122.0435,8.746802
0,2,0,1,0,Micir,1110,0.488,131.7681,8.240365
0,2,0,1,0,Asfalt,1110,0.61,141.4928,7.733927
0,2,0,1,0,Buz,1110,0.7320001,151.2174,7.227489
0,2,0,1,1,Toprak,1135,0.3060001,117.2609,8.99587
0,2,0,1,1,Micir,1135,0.4080001,125.3913,8.572454
0,2,0,1,1,Asfalt,1135,0.5100001,133.5217,8.149039
0,2,0,1,1,Buz,1135,0.6120001,141.6522,7.725625
0,2,0,1,2,Toprak,1160,0.186,107.6957,9.494005
0,2,0,1,2,Micir,1160,0.248,112.6377,9.236635
0,2,0,1,2,Asfalt,1160,0.31,117.5797,8.979265
0,2,0,1,2,Buz,1160,0.372,122.5217,8.721895
0,2,0,2,0,Toprak,1160,0.276,114.8696,9.120403
0,2,0,2,0,Micir,1160,0.368,122.2029,8.7385
0,2,0,2,0,Asfalt,1160,0.46,129.5362,8.356596
0,2,0,2,0,Buz,1160,0.552,136.8696,7.974692
0,2,0,2,1,Toprak,1185,0.216,110.087,9.369471
0,2,0,2,1,Micir,1185,0.288,115.8261,9.07059
0,2,0,2,1,Asfalt,1185,0.36,121.5652,8.771708
0,2,0,2,1,Buz,1185,0.432,127.3043,8.472828
0,2,0,2,2,Toprak,1210,0.09600002,100.5217,9.867606
0,2,0,2,2,Micir,1210,0.128,103.0725,9.73477
0,2,0,2,2,Asfalt,1210,0.16,105.6232,9.601934
0,2,0,2,2,Buz,1210,0.192,108.1739,9.469098
0,2,1,0,0,Toprak,1260,0.384,123.4783,8.672082
0,2,1,0,0,Micir,1260,0.512,133.6812,8.140738
0,2,1,0,0,Asfalt,1260,0.64,143.8841,7.609393
0,2,1,0,0,Buz,1260,0.7680001,154.087,7.078049
0,2,1,0,1,Toprak,1285,0.324,118.6956,8.921149
0,2,1,0,1,Micir,1285,0.432,127.3043,8.472828
0,2,1,0,1,Asfalt,1285,0.54,135.913,8.024506
0,2,1,0,1,Buz,1285,0.6480001,144.5217,7.576184
0,2,1,0,2,Toprak,1310,0.204,109.1304,9.419285
0,2,1,0,2,Micir,1310,0.272,114.5507,9.137008
0,2,1,0,2,Asfalt,1310,0.34,119.971,8.854732
0,2,1,0,2,Buz,1310,0.4080001,125.3913,8.572454
0,2,1,1,0,Toprak,1310,0.294,116.3044,9.045683
0,2,1,1,0,Micir,1310,0.392,124.1159,8.638873
0,2,1,1,0,Asfalt,1310,0.49,131.9275,8.232062
0,2,1,1,0,Buz,1310,0.5880001,139.7391,7.825252
0,2,1,1,1,Toprak,1335,0.234,111.5217,9.294751
0,2,1,1,1,Micir,1335,0.312,117.7391,8.970963
0,2,1,1,1,Asfalt,1335,0.39,123.9565,8.647175
0,2,1,1,1,Buz,1335,0.468,130.1739,8.323387
0,2,1,1,2,Toprak,1360,0.114,101.9565,9.792886
0,2,1,1,2,Micir,1360,0.152,104.9855,9.635143
0,2,1,1,2,Asfalt,1360,0.19,108.0145,9.4774
0,2,1,1,2,Buz,1360,0.228,111.0435,9.319657
0,2,1,2,0,Toprak,1360,0.204,109.1304,9.419285
0,2,1,2,0,Micir,1360,0.272,114.5507,9.137008
0,2,1,2,0,Asfalt,1360,0.34,119.971,8.854732
0,2,1,2,0,Buz,1360,0.4080001,125.3913,8.572454
0,2,1,2,1,Toprak,1385,0.144,104.3478,9.668352
0,2,1,2,1,Micir,1385,0.192,108.1739,9.469098
0,2,1,2,1,Asfalt,1385,0.24,112,9.269844
0,2,1,2,1,Buz,1385,0.288,115.8261,9.07059
0,2,1,2,2,Toprak,1410,0.02400001,94.78261,10.16649
0,2,1,2,2,Micir,1410,0.03200001,95.42029,10.13328
0,2,1,2,2,Asfalt,1410,0.04000001,96.05797,10.10007
0,2,1,2,2,Buz,1410,0.04800002,96.69566,10.06686
0,2,2,0,0,Toprak,1160,0.42,126.3478,8.522641
0,2,2,0,0,Micir,1160,0.56,137.5072,7.941483
0,2,2,0,0,Asfalt,1160,0.7,148.6667,7.360326
0,2,2,0,0,Buz,1160,0.84,159.8261,6.779168
0,2,2,0,1,Toprak,1185,0.36,121.5652,8.771708
0,2,2,0,1,Micir,1185,0.48,131.1304,8.273574
0,2,2,0,1,Asfalt,1185,0.6,140.6956,7.775438
0,2,2,0,1,Buz,1185,0.72,150.2609,7.277303
0,2,2,0,2,Toprak,1210,0.24,112,9.269844
0,2,2,0,2,Micir,1210,0.32,118.3768,8.937754
0,2,2,0,2,Asfalt,1210,0.4,124.7536,8.605663
0,2,2,0,2,Buz,1210,0.48,131.1304,8.273574
0,2,2,1,0,Toprak,1210,0.33,119.1739,8.896242
0,2,2,1,0,Micir,1210,0.44,127.942,8.439619
0,2,2,1,0,Asfalt,1210,0.55,136.7101,7.982995
0,2,2,1,0,Buz,1210,0.66,145.4783,7.526371
0,2,2,1,1,Toprak,1235,0.27,114.3913,9.14531
0,2,2,1,1,Micir,1235,0.36,121.5652,8.771708
0,2,2,1,1,Asfalt,1235,0.45,128.7391,8.398108
0,2,2,1,1,Buz,1235,0.54,135.913,8.024506
0,2,2,1,2,Toprak,1260,0.15,104.8261,9.643445
0,2,2,1,2,Micir,1260,0.2,108.8116,9.435889
0,2,2,1,2,Asfalt,1260,0.25,112.7971,9.228333
0,2,2,1,2,Buz,1260,0.3,116.7826,9.020777
0,2,2,2,0,Toprak,1260,0.24,112,9.269844
0,2,2,2,0,Micir,1260,0.32,118.3768,8.937754
0,2,2,2,0,Asfalt,1260,0.4,124.7536,8.605663
0,2,2,2,0,Buz,1260,0.48,131.1304,8.273574
0,2,2,2,1,Toprak,1285,0.18,107.2174,9.518911
0,2,2,2,1,Micir,1285,0.24,112,9.269844
0,2,2,2,1,Asfalt,1285,0.3,116.7826,9.020777
0,2,2,2,1,Buz,1285,0.36,121.5652,8.771708
0,2,2,2,2,Toprak,1310,0.06000001,97.65218,10.01705
0,2,2,2,2,Micir,1310,0.08000001,99.24638,9.934024
0,2,2,2,2,Asfalt,1310,0.1,100.8406,9.851002
0,2,2,2,2,Buz,1310,0.12,102.4348,9.767979
1,0,0,0,0,Toprak,860,0.468,130.1739,8.323387
1,0,0,0,0,Micir,860,0.624,142.6087,7.675811
1,0,0,0,0,Asfalt,860,0.78,155.0435,7.028235
1,0,0,0,0,Buz,860,0.936,167.4783,6.38066
1,0,0,0,1,Toprak,885,0.4080001,125.3913,8.572454
1,0,0,0,1,Micir,885,0.5440001,136.2319,8.007901
1,0,0,0,1,Asfalt,885,0.6800001,147.0725,7.443348
1,0,0,0,1,Buz,885,0.8160001,157.9131,6.878795
1,0,0,0,2,Toprak,910,0.288,115.8261,9.07059
1,0,0,0,2,Micir,910,0.384,123.4783,8.672082
1,0,0,0,2,Asfalt,910,0.48,131.1304,8.273574
1,0,0,0,2,Buz,910,0.5760001,138.7826,7.875065
1,0,0,1,0,Toprak,910,0.378,123,8.696988
1,0,0,1,0,Micir,910,0.504,133.0435,8.173946
1,0,0,1,0,Asfalt,910,0.63,143.0869,7.650905
1,0,0,1,0,Buz,910,0.756,153.1304,7.127862
1,0,0,1,1,Toprak,935,0.318,118.2174,8.946056
1,0,0,1,1,Micir,935,0.424,126.6667,8.506037
1,0,0,1,1,Asfalt,935,0.53,135.1159,8.066017
1,0,0,1,1,Buz,935,0.636,143.5652,7.625998
1,0,0,1,2,Toprak,960,0.198,108.6522,9.444191
1,0,0,1,2,Micir,960,0.264,113.913,9.170217
1,0,0,1,2,Asfalt,960,0.33,119.1739,8.896242
1,0,0,1,2,Buz,960,0.396,124.4348,8.622268
1,0,0,2,0,Toprak,960,0.288,115.8261,9.07059
1,0,0,2,0,Micir,960,0.384,123.4783,8.672082
1,0,0,2,0,Asfalt,960,0.48,131.1304,8.273574
1,0,0,2,0,Buz,960,0.576,138.7826,7.875065
1,0,0,2,1,Toprak,985,0.228,111.0435,9.319657
1,0,0,2,1,Micir,985,0.304,117.1014,9.004172
1,0,0,2,1,Asfalt,985,0.38,123.1594,8.688686
1,0,0,2,1,Buz,985,0.456,129.2174,8.3732
1,0,0,2,2,Toprak,1010,0.108,101.4783,9.817793
1,0,0,2,2,Micir,1010,0.144,104.3478,9.668352
1,0,0,2,2,Asfalt,1010,0.18,107.2174,9.518911
1,0,0,2,2,Buz,1010,0.216,110.087,9.369471
1,0,1,0,0,Toprak,1060,0.372,122.5217,8.721895
1,0,1,0,0,Micir,1060,0.496,132.4058,8.207155
1,0,1,0,0,Asfalt,1060,0.62,142.2899,7.692416
1,0,1,0,0,Buz,1060,0.744,152.1739,7.177676
1,0,1,0,1,Toprak,1085,0.312,117.7391,8.970963
1,0,1,0,1,Micir,1085,0.416,126.029,8.539246
1,0,1,0,1,Asfalt,1085,0.52,134.3188,8.107529
1,0,1,0,1,Buz,1085,0.6240001,142.6087,7.675811
1,0,1,0,2,Toprak,1110,0.192,108.1739,9.469098
1,0,1,0,2,Micir,1110,0.256,113.2754,9.203426
1,0,1,0,2,Asfalt,1110,0.32,118.3768,8.937754
1,0,1,0,2,Buz,1110,0.384,123.4783,8.672082
1,0,1,1,0,Toprak,1110,0.282,115.3478,9.095496
1,0,1,1,0,Micir,1110,0.376,122.8406,8.705291
1,0,1,1,0,Asfalt,1110,0.47,130.3333,8.315084
1,0,1,1,0,Buz,1110,0.5640001,137.8261,7.924879
1,0,1,1,1,Toprak,1135,0.222,110.5652,9.344564
1,0,1,1,1,Micir,1135,0.296,116.4638,9.037381
1,0,1,1,1,Asfalt,1135,0.37,122.3623,8.730198
1,0,1,1,1,Buz,1135,0.444,128.2609,8.423014
1,0,1,1,2,Toprak,1160,0.102,101,9.842699
1,0,1,1,2,Micir,1160,0.136,103.7101,9.701561
1,0,1,1,2,Asfalt,1160,0.17,106.4203,9.560423
1,0,1,1,2,Buz,1160,0.204,109.1304,9.419285
1,0,1,2,0,Toprak,1160,0.192,108.1739,9.469098
1,0,1,2,0,Micir,1160,0.256,113.2754,9.203426
1,0,1,2,0,Asfalt,1160,0.32,118.3768,8.937754
1,0,1,2,0,Buz,1160,0.384,123.4783,8.672082
1,0,1,2,1,Toprak,1185,0.132,103.3913,9.718165
1,0,1,2,1,Micir,1185,0.176,106.8986,9.535516
1,0,1,2,1,Asfalt,1185,0.22,110.4058,9.352866
1,0,1,2,1,Buz,1185,0.264,113.913,9.170218
1,0,1,2,2,Toprak,1210,0.012,93.82609,10.2163
1,0,1,2,2,Micir,1210,0.016,94.14493,10.1997
1,0,1,2,2,Asfalt,1210,0.02,94.46377,10.18309
1,0,1,2,2,Buz,1210,0.02400001,94.78261,10.16649
1,0,2,0,0,Toprak,960,0.42,126.3478,8.522641
1,0,2,0,0,Micir,960,0.56,137.5072,7.941483
1,0,2,0,0,Asfalt,960,0.7,148.6667,7.360326
1,0,2,0,0,Buz,960,0.84,159.8261,6.779168
1,0,2,0,1,Toprak,985,0.36,121.5652,8.771708
1,0,2,0,1,Micir,985,0.48,131.1304,8.273574
1,0,2,0,1,Asfalt,985,0.6,140.6956,7.775438
1,0,2,0,1,Buz,985,0.72,150.2609,7.277303
1,0,2,0,2,Toprak,1010,0.24,112,9.269844
1,0,2,0,2,Micir,1010,0.32,118.3768,8.937754
1,0,2,0,2,Asfalt,1010,0.4,124.7536,8.605663
1,0,2,0,2,Buz,1010,0.48,131.1304,8.273574
1,0,2,1,0,Toprak,1010,0.33,119.1739,8.896242
1,0,2,1,0,Micir,1010,0.44,127.942,8.439619
1,0,2,1,0,Asfalt,1010,0.55,136.7101,7.982995
1,0,2,1,0,Buz,1010,0.66,145.4783,7.526371
1,0,2,1,1,Toprak,1035,0.27,114.3913,9.14531
1,0,2,1,1,Micir,1035,0.36,121.5652,8.771708
1,0,2,1,1,Asfalt,1035,0.45,128.7391,8.398108
1,0,2,1,1,Buz,1035,0.54,135.913,8.024506
1,0,2,1,2,Toprak,1060,0.15,104.8261,9.643445
1,0,2,1,2,Micir,1060,0.2,108.8116,9.435889
1,0,2,1,2,Asfalt,1060,0.25,112.7971,9.228333
1,0,2,1,2,Buz,1060,0.3,116.7826,9.020777
1,0,2,2,0,Toprak,1060,0.24,112,9.269844
1,0,2,2,0,Micir,1060,0.32,118.3768,8.937754
1,0,2,2,0,Asfalt,1060,0.4,124.7536,8.605664
1,0,2,2,0,Buz,1060,0.48,131.1304,8.273574
1,0,2,2,1,Toprak,1085,0.18,107.2174,9.518911
1,0,2,2,1,Micir,1085,0.24,112,9.269844
1,0,2,2,1,Asfalt,1085,0.3,116.7826,9.020777
1,0,2,2,1,Buz,1085,0.36,121.5652,8.771708
1,0,2,2,2,Toprak,1110,0.05999999,97.65218,10.01705
1,0,2,2,2,Micir,1110,0.07999999,99.24638,9.934025
1,0,2,2,2,Asfalt,1110,0.09999999,100.8406,9.851002
1,0,2,2,2,Buz,1110,0.12,102.4348,9.76798
1,1,0,0,0,Toprak,860,0.498,132.5652,8.198853
1,1,0,0,0,Micir,860,0.664,145.7971,7.509767
1,1,0,0,0,Asfalt,860,0.83,159.029,6.820679
1,1,0,0,0,Buz,860,0.996,172.2609,6.131592
1,1,0,0,1,Toprak,885,0.438,127.7826,8.447921
